GEOID,distr_name,total_worker_pop,agro,construct,manufact,wholesale,retail,transport_util,info,finance_realest,prof_sci_mgmt_adm,edu_health,arts_ent_food_rec,otherserv,public_admin
5001300US1311,"Congressional District 11 (113th Congress), Georgia",344853,1742,25895,32663,12057,43346,16252,11248,28317,49341,62910,33255,16531,11296
5001300US1312,"Congressional District 12 (113th Congress), Georgia",274089,6376,18108,31575,5964,34267,15618,4195,10718,21907,69190,23729,13967,18475
5001300US1313,"Congressional District 13 (113th Congress), Georgia",310845,767,20660,23748,10548,35906,31927,8537,19260,36398,61791,27207,15557,18539
5001300US1314,"Congressional District 14 (113th Congress), Georgia",293319,2356,21583,61040,8043,33091,16964,4953,14024,23239,59365,22049,14314,12298
5001300US1501,"Congressional District 1 (113th Congress), Hawaii",332126,1579,19484,11793,8346,39006,19401,5974,23454,33970,71960,49684,14879,32596
5001300US1502,"Congressional District 2 (113th Congress), Hawaii",307946,8283,25268,8139,6759,36573,17548,4296,18015,30856,62007,53934,13966,22302
5001300US1601,"Congressional District 1 (113th Congress), Idaho",337618,15484,27987,34957,9873,42799,14635,6091,19550,30372,75408,28388,14192,17882
5001300US1602,"Congressional District 2 (113th Congress), Idaho",358572,23198,22938,33737,9393,42643,17622,6850,17673,36388,80049,32701,15411,19969
5001300US1701,"Congressional District 1 (113th Congress), Illinois",295394,526,14819,22129,6691,30544,24515,5966,22062,29569,83407,24816,13466,16884
5001300US1702,"Congressional District 2 (113th Congress), Illinois",285034,1455,13338,28963,6410,28859,25157,6237,18486,24311,81122,21899,13856,14941
5001300US1703,"Congressional District 3 (113th Congress), Illinois",330362,693,21080,40889,11951,37039,23523,6323,23118,34471,64469,33634,16647,16525
5001300US1704,"Congressional District 4 (113th Congress), Illinois",315977,715,20042,53770,9875,31752,17555,5923,16433,36930,50081,45969,18745,8187
5001300US1705,"Congressional District 5 (113th Congress), Illinois",407951,690,18108,35683,10361,36317,18590,11438,42424,75934,85910,38827,19972,13697
5001300US1706,"Congressional District 6 (113th Congress), Illinois",364887,798,15889,48347,15756,38164,17665,10080,35562,51673,76358,28262,16702,9631
5001300US1707,"Congressional District 7 (113th Congress), Illinois",305081,404,8257,23647,7804,25404,18077,7968,31213,51602,79174,26314,13279,11938
5001300US1708,"Congressional District 8 (113th Congress), Illinois",367267,1049,19565,59912,15168,43973,24168,9465,25831,43812,65252,35552,16414,7106
5001300US1709,"Congressional District 9 (113th Congress), Illinois",350299,582,12492,29320,8602,34474,17288,8794,33338,49043,90820,34897,20469,10180
5001300US1710,"Congressional District 10 (113th Congress), Illinois",334721,705,15529,51080,14003,39900,12755,6145,26890,45746,67409,29786,15167,9606
5001300US1711,"Congressional District 11 (113th Congress), Illinois",347924,1123,17421,44932,13238,42047,22565,7342,26923,43891,71981,30755,14654,11052
5001300US1712,"Congressional District 12 (113th Congress), Illinois",306187,5183,17554,31820,6489,36647,19081,4775,17493,26418,80004,27614,14508,18601
5001300US1713,"Congressional District 13 (113th Congress), Illinois",331616,6368,15518,31986,7626,38005,16551,6533,21741,25398,97115,31998,15578,17199
5001300US1714,"Congressional District 14 (113th Congress), Illinois",350812,2935,22286,52857,14037,41750,16782,8024,26630,39146,72227,27611,14668,11859
5001300US1715,"Congressional District 15 (113th Congress), Illinois",316256,14958,20831,47113,8605,36876,18821,5221,14800,18970,77443,22811,15344,14463
5001300US1716,"Congressional District 16 (113th Congress), Illinois",329415,8316,20430,56511,9803,39653,21871,5201,16447,21919,75083,27025,15868,11288
5001300US1717,"Congressional District 17 (113th Congress), Illinois",313982,7633,17609,53662,8057,36353,18805,5041,14653,22478,75577,26049,15219,12846
5001300US1718,"Congressional District 18 (113th Congress), Illinois",345155,8980,19600,43408,9733,37897,14800,5835,33688,24852,86389,24827,16372,18774
5001300US1801,"Congressional District 1 (113th Congress), Indiana",311970,1558,19903,50902,6831,36125,20364,4906,15175,23829,73254,32579,15365,11179
5001300US1802,"Congressional District 2 (113th Congress), Indiana",320250,5398,15745,80585,8814,34424,14478,3935,14658,19626,72813,26116,14854,8804
5001300US1803,"Congressional District 3 (113th Congress), Indiana",330284,5581,18011,83544,8831,37853,14913,5991,16033,20314,68861,25628,15949,8775
5001300US1804,"Congressional District 4 (113th Congress), Indiana",335980,6906,21032,62530,7653,36627,18741,4886,15915,21867,85304,27023,15434,12062
5001300US1805,"Congressional District 5 (113th Congress), Indiana",358099,2811,16194,45539,11772,39903,13555,7859,29321,41816,88520,30985,16704,13120
5001300US1806,"Congressional District 6 (113th Congress), Indiana",318968,5800,19892,66891,7343,36006,15054,3464,14026,20834,75172,28595,14750,11141
5001300US1807,"Congressional District 7 (113th Congress), Indiana",321379,791,18478,37087,10490,40905,22044,5439,19815,33380,69006,34435,14805,14704
5001300US1808,"Congressional District 8 (113th Congress), Indiana",329855,9910,21670,62343,7607,39599,17550,5179,14294,21630,73813,26314,16903,13043
5001300US1809,"Congressional District 9 (113th Congress), Indiana",337094,4276,20907,54660,7488,38046,18731,5207,17520,25482,81852,33284,15460,14181
5001300US1901,"Congressional District 1 (113th Congress), Iowa",390470,14787,24520,67255,10961,46802,17725,8088,23165,26588,93436,29744,17476,9923
5001300US1902,"Congressional District 2 (113th Congress), Iowa",377186,11476,21524,64599,9952,43172,18000,6211,18748,24816,99355,30648,16141,12544
5001300US1903,"Congressional District 3 (113th Congress), Iowa",400521,9188,25323,35811,12361,46043,18355,8857,58007,35713,86906,30646,17183,16128
5001300US1904,"Congressional District 4 (113th Congress), Iowa",384853,26566,22892,61165,12559,46329,18084,6456,18067,21084,95053,26686,17433,12479
5001300US2001,"Congressional District 1 (113th Congress), Kansas",345913,29788,22668,42323,9031,39483,16634,5615,14863,18353,87046,25955,15943,18211
5001300US2002,"Congressional District 2 (113th Congress), Kansas",336788,8698,21626,37924,6739,38219,16996,6524,18378,23440,93166,27286,15762,22030
5001300US2003,"Congressional District 3 (113th Congress), Kansas",369888,2100,20847,33817,14289,41180,17193,13799,33551,52726,82147,28738,16555,12946
5001300US2004,"Congressional District 4 (113th Congress), Kansas",334482,8574,21656,63766,8239,35600,14891,5304,15858,24334,79305,27933,15838,13184
5001300US2101,"Congressional District 1 (113th Congress), Kentucky",286919,15172,18845,48425,6662,35938,15278,3382,10856,15514,68213,21001,14855,12778
5001300US2102,"Congressional District 2 (113th Congress), Kentucky",314189,6937,22509,53267,8002,37796,18110,4602,14673,21139,73638,24655,14925,13936
5001300US2103,"Congressional District 3 (113th Congress), Kentucky",341636,891,16025,36477,10968,35607,26221,7888,27355,34015,84628,33777,16480,11304
5001300US2104,"Congressional District 4 (113th Congress), Kentucky",334703,4466,20833,46346,10049,37439,23669,6634,23784,29487,73811,28410,14590,15185
5001300US2105,"Congressional District 5 (113th Congress), Kentucky",237897,16649,15564,24507,5597,32329,13180,3768,8652,13751,63952,16724,10111,13113
5001300US2106,"Congressional District 6 (113th Congress), Kentucky",342423,10136,19430,43727,8305,38841,12786,5548,16272,29493,89671,32587,16835,18792
5001300US2201,"Congressional District 1 (113th Congress), Louisiana",360156,12463,32721,25516,12065,42752,19872,5382,21918,38009,76781,35847,18898,17932
5001300US2202,"Congressional District 2 (113th Congress), Louisiana",327456,5491,26179,24153,7609,35084,19488,4772,15335,30406,77113,46196,16912,18718
5001300US2203,"Congressional District 3 (113th Congress), Louisiana",339174,31703,24617,29769,9802,39282,16858,4856,17063,27357,72958,32985,16645,15279
5001300US2204,"Congressional District 4 (113th Congress), Louisiana",309565,18536,22380,24073,7768,36622,16822,4917,14343,21436,76751,30511,16629,18777
5001300US2205,"Congressional District 5 (113th Congress), Louisiana",288180,14651,21278,21354,6536,36218,14603,4297,14717,18146,81231,20609,14957,19583
5001300US2206,"Congressional District 6 (113th Congress), Louisiana",370847,9803,36100,36215,10316,41202,16448,6377,21926,36505,84394,32168,17819,21574
5001300US2301,"Congressional District 1 (113th Congress), Maine",339580,5439,22714,31372,8395,45114,11910,6482,25327,34182,88327,30999,14853,14466
5001300US2302,"Congressional District 2 (113th Congress), Maine",307519,10293,22871,28793,6923,42951,13228,5280,14260,22046,89139,24257,13759,13719
5001300US2401,"Congressional District 1 (113th Congress), Maryland",351653,6065,29355,28506,9837,40583,15809,5581,20998,37519,82998,30667,16563,27172
5001300US2402,"Congressional District 2 (113th Congress), Maryland",358056,699,21372,22503,9025,39936,18315,7048,25025,43116,90022,27072,16549,37374
5001300US2403,"Congressional District 3 (113th Congress), Maryland",378097,699,21688,19695,8248,34388,14025,8787,26254,58988,98235,28709,19816,38565
5001300US2404,"Congressional District 4 (113th Congress), Maryland",378952,940,29745,12172,6418,34368,19574,9060,21017,58759,81659,31199,22238,51803
5001300US2405,"Congressional District 5 (113th Congress), Maryland",373465,1465,29274,12186,6061,36063,19317,7737,17324,55791,76641,26969,19892,64745
5001300US2406,"Congressional District 6 (113th Congress), Maryland",369781,2391,24821,20697,6905,36652,13802,9268,25259,64842,78435,31431,20480,34798
5001300US2407,"Congressional District 7 (113th Congress), Maryland",323277,961,15864,15929,6547,29266,15602,6998,22711,45645,90085,24446,16164,33059
5001300US2408,"Congressional District 8 (113th Congress), Maryland",392917,1762,26628,14565,5734,30893,10095,12915,26581,77847,84845,31291,26847,42914
5001300US2501,"Congressional District 1 (113th Congress), Massachusetts",336337,1990,18317,39169,8301,39749,14997,6229,22614,26576,98967,29200,15474,14754
5001300US2502,"Congressional District 2 (113th Congress), Massachusetts",362782,2202,17862,42889,9044,41474,13518,7290,21244,35924,112890,28275,16103,14067
5001300US2503,"Congressional District 3 (113th Congress), Massachusetts",359373,1398,19885,55585,8210,38984,12327,8978,19799,50223,88306,26385,15323,13970
5001300US2504,"Congressional District 4 (113th Congress), Massachusetts",369674,695,18047,34844,11420,40956,10524,8363,31984,53282,104164,26266,15228,13901
5001300US2505,"Congressional District 5 (113th Congress), Massachusetts",390810,698,17067,29249,8322,37063,11164,11165,31705,71395,109930,30748,18070,14234
5001300US2506,"Congressional District 6 (113th Congress), Massachusetts",376224,1601,21632,37339,10017,41814,15001,9248,30779,50615,96018,29814,16742,15604
5001300US2507,"Congressional District 7 (113th Congress), Massachusetts",381959,543,13605,20861,6138,35389,13579,9201,27778,58292,119923,42161,19999,14490
